,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
2377,Karvy Innotech,3.2,(200 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 32 more",10 years old,51-200 Employees (India)
2378,ICRA,3.8,(278 Reviews),Public,"Gurgaon/Gurugram,Haryana + 13 more",31 years old,201-500 Employees (India)
2379,Infosys Consulti...,3.9,(238 Reviews),Zurich + 21 more,18 years old,1 Lakh+ Employees (India),
2380,Roche Diagnostic...,3.8,(200 Reviews),Private,"Basel,Basel City + 26 more",126 years old,201-500 Employees (India)
2381,Uae Exchange & F...,4.1,(199 Reviews),Private,Abu Dhabi + 66 more,42 years old,501-1k Employees (India)
2382,Teradata,4.1,(199 Reviews),Private,"San Diego,California + 6 more",43 years old,1k-5k Employees (India)
2383,Nuance Transcrip...,3.8,(199 Reviews),Private,"Burlington,Massachusetts + 9 more",23 years old,1k-5k Employees (India)
2384,Aeronautical Dev...,4.2,(199 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",38 years old,51-200 Employees (India)
2385,Madura Micro Fin...,4.3,(199 Reviews),Private,"Chennai,Tamil Nadu + 62 more",16 years old,1k-5k Employees (India)
2386,Aabasoft,4.4,(199 Reviews),Private,"Kochi/Cochin,Kerala + 5 more",20 years old,1k-5k Employees (India)
2387,KLAY Schools,4.4,(199 Reviews),Private,Bangalore + 14 more,11 years old,1k-5k Employees (India)
2388,Sri Krishna Phar...,3.9,(199 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",48 years old,201-500 Employees (India)
2389,Naaptol Online S...,3.3,(199 Reviews),Private,"Mumbai,Maharashtra + 20 more",14 years old,51-200 Employees (India)
2390,Adient,4.0,(199 Reviews),Private,"Plymouth,MI + 11 more",26 years old,501-1k Employees (India)
2391,Citigroup,3.9,(2k Reviews),Private,"New York City,New York + 15 more",210 years old,10k-50k Employees (India)
2392,Becton Dickinson,4.2,(210 Reviews),"Franklin Lakes,New Jersey + 20 more",21 years old,501-1k Employees (India),
2393,Fenesta Building...,4.2,(198 Reviews),Private,"Gurgaon/Gurugram,Haryana + 38 more",19 years old,501-1k Employees (India)
2394,Essilor,3.9,(198 Reviews),Private,Charenton-le-Pont + 31 more,24 years old,501-1k Employees (India)
2395,Kennametal,3.9,(198 Reviews),Public,"Latrobe,Pennsylvania + 7 more",84 years old,501-1k Employees (India)
2396,Health Total,3.5,(198 Reviews),Private,"Mumbai,Maharashtra + 10 more",25 years old,11-50 Employees (India)
2397,GKC Projects,4.3,(198 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",26 years old,501-1k Employees (India)
2398,Vulcan Express,4.1,(198 Reviews),Private,Gurgaon + 39 more,9 years old,1-10 Employees (India)
2399,Nilons Enterpris...,4.1,(198 Reviews),Private,"Pune,Maharashtra + 27 more",60 years old,501-1k Employees (India)
2400,Fenesta Building...,4.2,(198 Reviews),Private,"Gurgaon/Gurugram,Haryana + 38 more",19 years old,501-1k Employees (India)
2401,Boehringer-Ingel...,4.1,(198 Reviews),Private,Ingelheim + 35 more,137 years old,501-1k Employees (India)
2402,Munjal Auto Indu...,3.9,(198 Reviews),Public,"Gurgaon/Gurugram,Haryana + 10 more",37 years old,1k-5k Employees (India)
2403,Himatsingka Seid...,3.8,(198 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",37 years old,1k-5k Employees (India)
2404,Kokuyo Camlin,3.9,(198 Reviews),Public,"Mumbai,Maharashtra + 42 more",91 years old,1k-5k Employees (India)
2405,Buhler,3.8,(198 Reviews),Private,"Uzwil,St. Gallen + 19 more",162 years old,501-1k Employees (India)
2406,Essilor,3.9,(198 Reviews),Private,Charenton-le-Pont + 31 more,24 years old,501-1k Employees (India)
2407,Kennametal,3.9,(198 Reviews),Public,"Latrobe,Pennsylvania + 7 more",84 years old,501-1k Employees (India)
2408,GKC Projects,4.3,(198 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",26 years old,501-1k Employees (India)
2409,Vulcan Express,4.1,(198 Reviews),Private,Gurgaon + 39 more,9 years old,1-10 Employees (India)
2410,ManipalCigna Hea...,4.0,(198 Reviews),JV,"Mumbai,Maharashtra + 58 more",10 years old,1k-5k Employees (India)
2411,Kiya.ai,3.3,(198 Reviews),"Mumbai,Maharashtra + 5 more",27 years old,201-500 Employees (India),
2412,Silver Touch Tec...,3.7,(197 Reviews),Public,"Ahmedabad,Gujarat + 21 more",30 years old,501-1k Employees (India)
2413,National Enginee...,4.0,(197 Reviews),Private,"Jaipur,Rajasthan + 16 more",76 years old,1k-5k Employees (India)
2414,Mirza Internatio...,4.1,(197 Reviews),Public,"Kanpur,Uttar Pradesh + 25 more",43 years old,501-1k Employees (India)
2415,EMCO,3.9,(197 Reviews),Public,"Mumbai,Maharashtra + 23 more",58 years old,51-200 Employees (India)
2416,Hettich,3.8,(197 Reviews),Private,Kirchlengern + 23 more,134 years old,201-500 Employees (India)
2417,Bonfiglioli Tran...,4.0,(197 Reviews),Private,"Lippo Di Calderara Di Reno,Bologna + 10 more",66 years old,201-500 Employees (India)
2418,Indiabulls Real ...,4.4,(197 Reviews),Public,"Mumbai,Maharashtra + 19 more",16 years old,201-500 Employees (India)
2419,Reliance Jewels,4.2,(197 Reviews),Private,"Mumbai,Maharashtra + 63 more",15 years old,5k-10k Employees (Global)
2420,Gallagher Offsho...,4.0,(197 Reviews),Private,Pune + 4 more,16 years old,11-50 Employees (India)
2421,Polybond India,3.9,(197 Reviews),Private,"Pune,Maharashtra + 6 more",44 years old,1k-5k Employees (India)
2422,Syrma Technology,4.0,(197 Reviews),Private,"Chennai,Tamil Nadu + 8 more",18 years old,201-500 Employees (India)
2423,Tally Solutions,4.4,(196 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 45 more",36 years old,501-1k Employees (India)
2424,Carl Zeiss,3.9,(196 Reviews),Private,Stuttgart + 22 more,13 years old,501-1k Employees (India)
2425,NTTF,4.0,(196 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",59 years old,501-1k Employees (India)
2426,Mjunction Servic...,3.9,(196 Reviews),JV,Kolkata + 18 more,21 years old,501-1k Employees (India)
2427,Ruby Hall Clinic,4.1,(196 Reviews),NGO/NPO,Pune + 5 more,63 years old,201-500 Employees (India)
2428,Airtel DTH Servi...,4.2,(196 Reviews),Gurgaon + 72 more,14 years old,5k-10k Employees (India),
2429,Zoomcar,3.8,(196 Reviews),Private,"Bangalore,Karnataka + 28 more",10 years old,501-1k Employees (India)
2430,Tally Solutions,4.4,(196 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 45 more",36 years old,501-1k Employees (India)
2431,Airtel DTH Servi...,4.2,(196 Reviews),Gurgaon + 72 more,14 years old,5k-10k Employees (India),
2432,Mahindra Susten,4.3,(196 Reviews),Private,"Mumbai,Maharashtra + 24 more",12 years old,501-1k Employees (India)
2433,Tsys Card Tech S...,4.2,(196 Reviews),"Columbus,Georgia + 2 more",38 years old,1k-5k Employees (India),
2434,Nesma & Partners,4.5,(196 Reviews),Private,Jeddah + 14 more,41 years old,51-200 Employees (India)
2435,PayU Payments,4.2,(196 Reviews),Private,Amsterdam + 10 more,20 years old,1k-5k Employees (India)
2436,Tanishq Jeweller...,4.5,(196 Reviews),Bengaluru + 74 more,28 years old,501-1k Employees (India),
2437,Tube Investments...,4.1,(475 Reviews),Public,Chennai + 28 more,63 years old,1k-5k Employees (India)
2438,Dynacons Systems...,3.8,(195 Reviews),Private,"Mumbai,Maharashtra + 38 more",27 years old,1k-5k Employees (India)
2439,A2Z Group,4.0,(195 Reviews),Private,Gurgaon + 35 more,20 years old,51-200 Employees (India)
2440,Aegon Life Insur...,3.9,(195 Reviews),Private,Mumbai + 33 more,15 years old,1k-5k Employees (India)
2441,LogixHealth,3.5,(195 Reviews),Private,"Bedford,Massachusetts + 4 more",32 years old,501-1k Employees (India)
2442,Army Medical Cor...,4.7,(195 Reviews),Govt Organisation,"Delhi/NCR,Delhi + 32 more",258 years old,50k-1 Lakh Employees (India)
2443,Country Club Ind...,3.4,(195 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 25 more",37 years old,5k-10k Employees (India)
2444,Nitco,4.3,(195 Reviews),Public,"Mumbai,Maharashtra + 36 more",69 years old,1k-5k Employees (India)
2445,Rusan Pharma,3.2,(195 Reviews),Private,"Mumbai,Maharashtra + 9 more",28 years old,501-1k Employees (India)
2446,Roop Automotives,4.3,(195 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",32 years old,501-1k Employees (India)
2447,Mfar Constructio...,4.0,(195 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",26 years old,501-1k Employees (India)
2448,Quinnox,4.1,(195 Reviews),Private,"Chicago,Illinois + 4 more",20 years old,1k-5k Employees (India)
2449,Talbros,3.8,(234 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",66 years old,501-1k Employees (India)
2450,Sunflag Iron and...,4.2,(194 Reviews),Private,"Nagpur,Maharashtra + 12 more",38 years old,201-500 Employees (India)
2451,Walchandnagar In...,3.8,(194 Reviews),Public,"Mumbai,Maharashtra + 9 more",114 years old,501-1k Employees (India)
2452,Moody's Analytic...,3.9,(194 Reviews),Private,"New York,New York + 5 more",15 years old,501-1k Employees (India)
2453,Siemens Healthca...,4.2,(194 Reviews),Private,Erlangen + 18 more,126 years old,1k-5k Employees (India)
2454,Aliens Group,3.9,(194 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",18 years old,501-1k Employees (India)
2455,CPA Global,4.0,(194 Reviews),Private,"St Helier,New Jersey + 4 more",53 years old,1k-5k Employees (India)
2456,Writer Corporati...,4.0,(194 Reviews),Private,"Mumbai,Maharashtra + 35 more",69 years old,10k-50k Employees (India)
2457,Pathkind Diagnos...,4.1,(194 Reviews),Private,"Gurgaon/Gurugram,Haryana + 54 more",6 years old,501-1k Employees (India)
2458,Hamdard,4.2,(194 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 37 more",116 years old,501-1k Employees (India)
2459,Polyplastics Ind...,3.9,(194 Reviews),Private,Tokyo + 12 more,52 years old,201-500 Employees (India)
2460,GSP Crop Science,3.8,(194 Reviews),Private,"Ahmedabad,Gujarat + 24 more",37 years old,501-1k Employees (India)
2461,ACG Associated C...,4.0,(194 Reviews),"Mumbai,Maharashtra + 8 more",58 years old,1k-5k Employees (India),
2462,East India Udyog,4.0,(194 Reviews),Public,"Ghaziabad,Uttar Pradesh + 28 more",56 years old,201-500 Employees (India)
2463,Stryker,4.3,(193 Reviews),Public,"Kalamazoo,Michigan + 16 more",81 years old,1k-5k Employees (India)
2464,Indian Overseas ...,4.0,(193 Reviews),Private,"Chennai,Tamil Nadu + 54 more",85 years old,10k-50k Employees (India)
2465,Citrix,4.1,(193 Reviews),Private,"Fort Lauderdale,Florida + 2 more",33 years old,1k-5k Employees (India)
2466,Roquette Riddhi ...,3.7,(193 Reviews),Private,Lestrem + 10 more,89 years old,1k-5k Employees (India)
2467,Housejoy,4.4,(193 Reviews),Private,"Bangalore,Karnataka + 17 more",8 years old,201-500 Employees (India)
2468,Allanasons,3.7,(193 Reviews),Private,Mumbai + 20 more,157 years old,501-1k Employees (India)
2469,Louis Philippe,4.2,(193 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 49 more",33 years old,1 Lakh+ Employees (Global)
2470,Capco Technologi...,3.9,(193 Reviews),Private,London + 8 more,24 years old,1k-5k Employees (India)
2471,Rackspace,4.1,(193 Reviews),Private,"San Antonio,Texas + 7 more",24 years old,1k-5k Employees (India)
2472,Accelya Solution...,3.7,(193 Reviews),Private,"Mumbai,Maharashtra + 7 more",36 years old,1k-5k Employees (India)
2473,Su-Kam Power Sys...,4.3,(193 Reviews),Private,"Gurgaon/Gurugram,Haryana + 41 more",34 years old,501-1k Employees (India)
2474,Alfa Laval,4.0,(193 Reviews),Private,"Lund,Skane + 14 more",139 years old,1k-5k Employees (India)
2475,ESDS Software So...,4.1,(193 Reviews),Private,"Nashik,Maharashtra + 11 more",17 years old,501-1k Employees (India)
2476,Gilbarco Veeder ...,3.9,(193 Reviews),Private,Greensboro + 26 more,157 years old,1k-5k Employees (India)
2477,Smaaash Entertai...,3.9,(193 Reviews),Private,"Mumbai,Maharashtra + 20 more",13 years old,501-1k Employees (India)
2478,Healthcare At Ho...,4.1,(193 Reviews),Private,"Noida,Uttar Pradesh + 24 more",10 years old,201-500 Employees (India)
2479,Mothers Recipe,4.1,(193 Reviews),Private,"Pune,Maharashtra + 34 more",121 years old,501-1k Employees (India)
2480,Mukand,3.9,(289 Reviews),Public,"Mumbai,Maharashtra + 12 more",85 years old,1k-5k Employees (India)
2481,Etisalat,3.5,(229 Reviews),Public,"Abu Dhabi,Abu Dhabi + 10 more",46 years old,1k-5k Employees (India)
2482,LT Foods,4.4,(192 Reviews),Public,"Gurgaon/Gurugram,Haryana + 33 more",32 years old,201-500 Employees (India)
2483,Vayam Info Solut...,3.7,(192 Reviews),Noida + 23 more,12 years old,201-500 Employees (India),
2484,IMS People,3.8,(192 Reviews),Private,Ahmedabad + 16 more,16 years old,501-1k Employees (India)
2485,Shriram Chits,3.9,(192 Reviews),Private,"Mumbai,Maharashtra + 67 more",48 years old,1k-5k Employees (India)
2486,Kailash Hospital,3.9,(192 Reviews),Public,Noida + 14 more,38 years old,5k-10k Employees (India)
2487,Windlas Biotech,4.1,(192 Reviews),Gurugram + 9 more,21 years old,501-1k Employees (India),
2488,Grass Roots Rese...,5.0,(192 Reviews),New Delhi + 12 more,51-200 Employees (India),,
2489,NVH India Auto P...,3.6,(192 Reviews),Private,"Buk-gu,Ulsan + 7 more",38 years old,201-500 Employees (India)
2490,Data Entry,3.7,(192 Reviews),Private,New Delhi + 72 more,23 years old,51-200 Employees (India)
2491,Bharat Instituti...,4.2,(192 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",21 years old,201-500 Employees (India)
2492,Grass Roots Rese...,5.0,(192 Reviews),New Delhi + 12 more,51-200 Employees (India),,
2493,Shriram Chits,3.9,(192 Reviews),Private,"Mumbai,Maharashtra + 67 more",48 years old,1k-5k Employees (India)
2494,Origo Commoditie...,3.9,(192 Reviews),Private,"Gurgaon,Haryana + 42 more",12 years old,1k-5k Employees (India)
2495,Altruist Custome...,3.3,(192 Reviews),Panchkula + 12 more,12 years old,10k-50k Employees (Global),
2496,Madhucon Project...,3.6,(333 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 23 more",39 years old,1k-5k Employees (India)
2497,Joyalukkas,4.0,(191 Reviews),Private,Dubai + 46 more,35 years old,201-500 Employees (India)
2498,Eastern Condimen...,4.1,(191 Reviews),Private,"Idukki,Kerala + 35 more",39 years old,1k-5k Employees (India)
2499,Bhandari Automob...,4.1,(191 Reviews),Private,"Midnapore,West Bengal + 17 more",44 years old,1k-5k Employees (Global)
2500,National Organic...,4.2,(191 Reviews),Public,"Mumbai,Maharashtra + 10 more",47 years old,51-200 Employees (India)
2501,Wolters Kluwer,3.9,(191 Reviews),"Alphen Aan Den Rijn,South Holland + 11 more",16 years old,201-500 Employees (India),
2502,Telecom Network ...,3.8,(191 Reviews),Private,"Noida,Uttar Pradesh + 29 more",21 years old,501-1k Employees (India)
2503,Kirloskar Ferrou...,4.1,(191 Reviews),Public,"Koppal,Karnataka + 9 more",31 years old,1k-5k Employees (India)
2504,Shivam Infocom,3.8,(191 Reviews),Private,"Delhi/NCR,Delhi + 29 more",19 years old,1k-5k Employees (India)
2505,Elentec India,4.1,(191 Reviews),Private,"Hwasung City,South Korea + 15 more",40 years old,11-50 Employees (India)
2506,AIS Glass Soluti...,3.8,(191 Reviews),Private,Gurgaon + 24 more,38 years old,51-200 Employees (India)
2507,Hyundai Heavy In...,4.3,(191 Reviews),Public,Ulsan + 20 more,50 years old,201-500 Employees (India)
2508,Lambda Therapeut...,3.7,(191 Reviews),Private,Ahmedabad + 4 more,24 years old,501-1k Employees (India)
2509,Monnet Group,4.0,(191 Reviews),Public,"Raipur,Chhattisgarh + 13 more",32 years old,501-1k Employees (India)
2510,Gainwell Commosa...,4.1,(191 Reviews),Private,"Kolkata,West Bengal + 37 more",78 years old,1k-5k Employees (India)
2511,National Stock E...,3.5,(190 Reviews),Private,"Mumbai,Maharashtra + 23 more",30 years old,501-1k Employees (India)
2512,Raptakos Brett a...,3.6,(190 Reviews),Public,"Mumbai,Maharashtra + 33 more",92 years old,201-500 Employees (India)
2513,Lotus Herbals,4.4,(190 Reviews),Private,"Mumbai,Maharashtra + 32 more",29 years old,1k-5k Employees (India)
2514,Hamilton Housewa...,3.8,(190 Reviews),Private,"Mumbai,Maharashtra + 14 more",50 years old,201-500 Employees (India)
2515,Indostar Capital...,4.2,(190 Reviews),Public,"Mumbai,Maharashtra + 91 more",11 years old,1k-5k Employees (India)
2516,Holcim,3.5,(190 Reviews),Private,Navi Mumbai + 24 more,110 years old,1k-5k Employees (India)
2517,Maxop Engineerin...,4.1,(190 Reviews),"Delhi/NCR,Delhi + 7 more",19 years old,201-500 Employees (India),
2518,Clariant Chemica...,4.3,(190 Reviews),Public,"Muttenz,Bael-Country + 15 more",27 years old,501-1k Employees (India)
2519,Krsnaa Diagnosti...,3.6,(190 Reviews),Private,"Pune,Maharashtra + 34 more",12 years old,51-200 Employees (India)
2520,Clariant Chemica...,4.3,(190 Reviews),Public,"Muttenz,Bael-Country + 15 more",27 years old,501-1k Employees (India)
2521,Raptakos Brett a...,3.6,(190 Reviews),Public,"Mumbai,Maharashtra + 33 more",92 years old,201-500 Employees (India)
2522,ANAROCK Property...,3.9,(190 Reviews),Private,"Mumbai,Maharashtra + 19 more",5 years old,501-1k Employees (India)
2523,Talwalkars Bette...,3.5,(190 Reviews),Public,"Mumbai,Maharashtra + 52 more",90 years old,201-500 Employees (India)
2524,Rane Brake Linin...,4.3,(190 Reviews),Public,"Chennai,Tamil Nadu + 11 more",58 years old,201-500 Employees (India)
2525,Solara Active Ph...,3.9,(190 Reviews),Public,"Chennai,Tamil Nadu + 11 more",4 years old,501-1k Employees (India)
2526,Kirloskar Electr...,3.9,(190 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",76 years old,1k-5k Employees (India)
2527,Piramal Swasthya,3.9,(190 Reviews),"Hyderabad/Secunderabad,Telangana + 31 more",15 years old,10k-50k Employees (India),
2528,Maxop Engineerin...,4.1,(190 Reviews),"Delhi/NCR,Delhi + 7 more",19 years old,201-500 Employees (India),
2529,Dnata,4.1,(189 Reviews),Private,"Dubai,Dubai + 17 more",63 years old,501-1k Employees (India)
2530,SML Isuzu,4.0,(189 Reviews),Public,"Chandigarh,Chandigarh + 31 more",37 years old,1k-5k Employees (India)
2531,Simpa Energy,4.2,(189 Reviews),"Bangalore,Karnataka + 29 more",12 years old,51-200 Employees (India),
2532,Delhi Metro Rail...,4.0,(189 Reviews),Public,"Delhi/NCR,New Delhi + 18 more",27 years old,10k-50k Employees (India)
2533,Konecranes,4.0,(189 Reviews),Private,Hyvinkää + 10 more,47 years old,501-1k Employees (India)
2534,Asian Granito In...,4.0,(189 Reviews),Public,"Ahmedabad,Gujrat + 34 more",22 years old,1k-5k Employees (India)
2535,Jupiter Hospital,4.1,(189 Reviews),Private,"Thane,Maharashtra + 5 more",15 years old,1k-5k Employees (India)
2536,IPE Global,4.1,(189 Reviews),Public,New Delhi + 52 more,24 years old,1k-5k Employees (India)
2537,L&T Electrical &...,4.1,(189 Reviews),Public,Mumbai + 37 more,15 years old,1k-5k Employees (India)
2538,Somic ZF Compone...,4.3,(189 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",27 years old,501-1k Employees (India)
2539,Smart Value Prod...,4.4,(189 Reviews),Private,"Delhi/NCR,Delhi + 52 more",16 years old,51-200 Employees (India)
2540,Orchid Chemicals...,4.1,(303 Reviews),Private,"Chennai,Tamil Nadu + 21 more",30 years old,1k-5k Employees (India)
2541,Mettler-Toledo,3.5,(188 Reviews),Private,"Greifensee,Zurich + 17 more",76 years old,501-1k Employees (India)
2542,National Payment...,3.5,(188 Reviews),Private,"Mumbai,Maharashtra + 9 more",17 years old,501-1k Employees (India)
2543,Sany Heavy Indus...,4.0,(188 Reviews),Private,"Beijing,Beijing + 33 more",33 years old,501-1k Employees (India)
2544,TATA Advanced Ma...,3.8,(188 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 1 more",32 years old,501-1k Employees (India)
2545,TNT Express,4.4,(188 Reviews),Private,"Hoofddorp,North Holand + 28 more",76 years old,501-1k Employees (India)
2546,Invesco,4.1,(188 Reviews),Private,"Atlanta,Atlanta + 3 more",87 years old,501-1k Employees (India)
2547,Pepperfry,3.6,(188 Reviews),Private,"Mumbai,Maharashtra + 22 more",11 years old,201-500 Employees (India)
2548,Religare,3.8,(188 Reviews),Public,"New Delhi,Delhi + 55 more",38 years old,5k-10k Employees (India)
2549,Indo German Tool...,3.9,(188 Reviews),Private,"Ahmedabad,Gujarat + 12 more",27 years old,51-200 Employees (India)
2550,Pepperfry,3.6,(188 Reviews),Private,"Mumbai,Maharashtra + 22 more",11 years old,201-500 Employees (India)
2551,S Chand Group,4.1,(188 Reviews),Public,New Delhi + 29 more,83 years old,1k-5k Employees (India)
2552,Ksb Pumps,3.9,(188 Reviews),Private,"Frankenthal,Rhineland-Palatinate + 28 more",151 years old,1k-5k Employees (India)
2553,Petrofac Enginee...,3.7,(188 Reviews),Private,London + 11 more,19 years old,1k-5k Employees (India)
2554,RCL-PRIYA CEMENT,4.1,(188 Reviews),"Hyderabad/Secunderabad,Telangana + 27 more",48 years old,1-10 Employees (India),
2555,Bonace Engineers,4.1,(188 Reviews),Private,"Mumbai,Maharashtra + 22 more",27 years old,201-500 Employees (India)
2556,Tradebulls,3.0,(188 Reviews),Private,"Mumbai,Maharashtra + 15 more",13 years old,11-50 Employees (India)
2557,Total,3.6,(246 Reviews),Private,Paris + 32 more,98 years old,501-1k Employees (India)
2558,Bombay Rayon Fas...,3.8,(187 Reviews),Public,"Mumbai,Maharashtra + 11 more",36 years old,5k-10k Employees (India)
2559,Health Care Glob...,3.8,(187 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",33 years old,1k-5k Employees (India)
2560,Rajasthan Patrik...,3.1,(187 Reviews),Private,"Jaipur,Rajasthan + 35 more",66 years old,1k-5k Employees (India)
2561,Bharat Dynamics,4.6,(187 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",52 years old,1k-5k Employees (India)
2562,TIBCO Software,4.3,(187 Reviews),Private,"Palo Alto,California + 6 more",25 years old,1k-5k Employees (India)
2563,Yalamanchili Sof...,3.3,(187 Reviews),Public,Chennai + 10 more,21 years old,51-200 Employees (India)
2564,Bses Yamuna Powe...,3.6,(187 Reviews),New Delhi + 2 more,20 years old,501-1k Employees (India),
2565,Ergode IT Servic...,4.0,(187 Reviews),Private,"Mumbai,Maharashtra + 3 more",16 years old,51-200 Employees (India)
2566,Zovian Technolog...,4.9,(187 Reviews),Private,Bangalore + 1 more,6 years old,1-10 Employees (India)
2567,Dr. Agarwal's Ey...,4.0,(187 Reviews),Public,"Chennai,Tamil Nadu + 27 more",65 years old,1k-5k Employees (India)
2568,McAfee,4.1,(193 Reviews),Private,"Santa Clara,California + 7 more",35 years old,1k-5k Employees (India)
2569,Subway,4.5,(186 Reviews),Private,"Milford,Connecticut + 45 more",57 years old,1k-5k Employees (India)
2570,Matrix Cellular ...,3.2,(186 Reviews),Private,Delhi + 17 more,27 years old,51-200 Employees (India)
2571,e-Centric Soluti...,3.4,(186 Reviews),Private,Hyderabad + 30 more,20 years old,201-500 Employees (India)
2572,Johnson Matthey,4.0,(186 Reviews),Private,London + 13 more,205 years old,501-1k Employees (India)
2573,Prione Business ...,4.3,(186 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 22 more",8 years old,501-1k Employees (India)
2574,GMR Energy,4.5,(186 Reviews),Public,"Delhi,NCT + 23 more",26 years old,1k-5k Employees (India)
2575,63 Moons Technol...,4.0,(186 Reviews),Public,"Mumbai,Maharashtra + 11 more",34 years old,501-1k Employees (India)
2576,Cheil India,3.3,(186 Reviews),Private,Gurugram + 15 more,19 years old,201-500 Employees (India)
2577,Apollo Clinic,3.9,(186 Reviews),Public,Hyderabad + 31 more,20 years old,201-500 Employees (India)
2578,REPCO HOME FINAN...,3.9,(186 Reviews),Public,Chennai + 58 more,22 years old,501-1k Employees (India)
2579,Apollo Clinic,3.9,(186 Reviews),Public,Hyderabad + 31 more,20 years old,201-500 Employees (India)
2580,IKEA,4.5,(186 Reviews),Private,Delft + 12 more,79 years old,10k-50k Employees (India)
2581,2COMS,3.6,(185 Reviews),Private,"Kolkata,West Bengal + 32 more",23 years old,10k-50k Employees (India)
2582,Landis+Gyr,4.1,(185 Reviews),Public,"Zug,Zug + 7 more",126 years old,501-1k Employees (India)
2583,Bhilai Engineeri...,3.9,(185 Reviews),Public,"Bhilai/Bhillai,Chhattisgarh + 19 more",62 years old,501-1k Employees (India)
2584,Park Hospital,3.6,(185 Reviews),"Gurgaon/Gurugram,Haryana + 13 more",40 years old,501-1k Employees (Global),
2585,Aludecor Laminat...,4.0,(185 Reviews),Private,"Kolkata,West Bengal + 23 more",18 years old,201-500 Employees (India)
2586,Bsh Household Ap...,4.3,(185 Reviews),"Munich,Munich + 27 more",55 years old,501-1k Employees (India),
2587,Delphi Automotiv...,4.1,(185 Reviews),Public,Dublin + 15 more,28 years old,51-200 Employees (India)
2588,Bluechip Corpora...,4.2,(185 Reviews),Private,"Mumbai,Maharashtra + 61 more",26 years old,201-500 Employees (India)
2589,Sata Vikas India,3.8,(185 Reviews),JV,"Aurangabad,Maharashtra + 9 more",15 years old,51-200 Employees (India)
2590,Sun Pharma Labor...,4.2,(185 Reviews),"Mumbai,Maharashtra + 32 more",39 years old,10k-50k Employees (India),
2591,Essar Power,4.3,(185 Reviews),Public,"Mumbai,Maharashtra + 14 more",25 years old,5k-10k Employees (India)
2592,CK Birla Group,4.1,(2.2k Reviews),Private,"Delhi/NCR,New Delhi + 35 more",160 years old,10k-50k Employees (India)
2593,Western Refriger...,4.3,(184 Reviews),Private,"Mumbai,Maharashtra + 23 more",50 years old,501-1k Employees (India)
2594,Ciena,4.3,(184 Reviews),Private,"Hanover,Maryland + 9 more",30 years old,1k-5k Employees (India)
2595,Entrata India,4.3,(184 Reviews),Private,"Provo,Utah",15 years old,501-1k Employees (India)
2596,ESAB,4.3,(184 Reviews),Public,"Chennai,Tamil Nadu + 18 more",35 years old,501-1k Employees (India)
2597,Sundaram Busines...,3.5,(184 Reviews),Private,Chennai + 6 more,21 years old,501-1k Employees (India)
2598,ISS SDB Security...,4.3,(184 Reviews),Private,Mumbai + 39 more,12 years old,501-1k Employees (India)
2599,Molecular Connec...,3.6,(184 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 17 more",21 years old,1k-5k Employees (India)
2600,Military Enginee...,4.5,(184 Reviews),Public,"Delhi/NCR,Delhi + 47 more",99 years old,51-200 Employees (India)
2601,Mitsui O.S.K. Li...,4.1,(325 Reviews),Private,"Toranomon,Tokyo + 9 more",138 years old,51-200 Employees (India)
2602,Indian Bank,3.7,(186 Reviews),Private,Chennai + 48 more,115 years old,10k-50k Employees (India)
2603,VVF,4.0,(183 Reviews),Public,Mumbai + 14 more,83 years old,1k-5k Employees (India)
2604,Faasos Food Serv...,3.7,(183 Reviews),Private,"Pune,Maharashtra + 16 more",12 years old,1k-5k Employees (India)
2605,Regalix,3.2,(183 Reviews),Private,San Mateo + 2 more,17 years old,1k-5k Employees (India)
2606,Shree Baidyanath...,3.5,(183 Reviews),Private,"Allahabad/Prayagraj,Uttar Pradesh + 26 more",105 years old,501-1k Employees (India)
